Training: 2021-04-10 19:44:24,605-rank_id: 0
Training: 2021-04-10 20:24:24,790-Speed 763.82 samples/sec   Loss 19.4890   Epoch: 0   Global Step: 3500   Required: 55 hours
Training: 2021-04-10 20:24:58,277-Speed 764.48 samples/sec   Loss 19.3228   Epoch: 0   Global Step: 3550   Required: 55 hours
Training: 2021-04-10 20:25:31,802-Speed 763.62 samples/sec   Loss 19.3008   Epoch: 0   Global Step: 3600   Required: 55 hours
Training: 2021-04-10 20:26:05,656-Speed 756.20 samples/sec   Loss 19.0626   Epoch: 0   Global Step: 3650   Required: 55 hours
Training: 2021-04-10 20:26:39,363-Speed 759.51 samples/sec   Loss 19.0507   Epoch: 0   Global Step: 3700   Required: 55 hours
Training: 2021-04-10 20:27:12,838-Speed 764.78 samples/sec   Loss 18.9306   Epoch: 0   Global Step: 3750   Required: 55 hours
Training: 2021-04-10 20:27:46,295-Speed 765.16 samples/sec   Loss 18.6776   Epoch: 0   Global Step: 3800   Required: 55 hours
Training: 2021-04-10 20:28:19,877-Speed 762.33 samples/sec   Loss 18.5712   Epoch: 0   Global Step: 3850   Required: 55 hours
Training: 2021-04-10 20:28:53,540-Speed 760.49 samples/sec   Loss 18.5044   Epoch: 0   Global Step: 3900   Required: 55 hours
Training: 2021-04-10 20:29:27,004-Speed 765.02 samples/sec   Loss 18.3643   Epoch: 0   Global Step: 3950   Required: 55 hours
Training: 2021-04-10 20:30:00,398-Speed 766.61 samples/sec   Loss 18.3994   Epoch: 0   Global Step: 4000   Required: 55 hours
Training: 2021-04-10 20:30:33,848-Speed 765.33 samples/sec   Loss 18.0871   Epoch: 0   Global Step: 4050   Required: 54 hours
Training: 2021-04-10 20:31:07,257-Speed 766.29 samples/sec   Loss 18.1327   Epoch: 0   Global Step: 4100   Required: 54 hours
Training: 2021-04-10 20:31:40,681-Speed 765.92 samples/sec   Loss 18.2684   Epoch: 0   Global Step: 4150   Required: 54 hours
Training: 2021-04-10 20:32:14,216-Speed 763.40 samples/sec   Loss 18.1572   Epoch: 0   Global Step: 4200   Required: 54 hours
Training: 2021-04-10 20:32:47,872-Speed 760.66 samples/sec   Loss 17.7715   Epoch: 0   Global Step: 4250   Required: 54 hours
Training: 2021-04-10 20:33:21,367-Speed 764.31 samples/sec   Loss 17.6023   Epoch: 0   Global Step: 4300   Required: 54 hours
